datetime,load_kw,pv_kw,charge_kw,discharge_kw,soc_kwh,net_with_kw,net_without_kw
2025-07-09 17:00:00,3.54,21.524051939990105,0.0,0.0,318.006981792847,-17.984051939990106,-17.984051939990106
2025-07-09 18:00:00,3.66,10.878984015497718,0.0,0.0,318.006981792847,-7.218984015497718,-7.218984015497718
2025-07-09 19:00:00,3.18,0.5966379846291658,0.0,0.0,318.006981792847,2.5833620153708345,2.5833620153708345
2025-07-09 20:00:00,3.24,0.0,0.0,0.0,318.006981792847,3.24,3.24
2025-07-09 21:00:00,3.24,0.0,0.0,0.0,318.006981792847,3.24,3.24
2025-07-09 22:00:00,3.06,0.0,0.0,0.0,318.006981792847,3.06,3.06
2025-07-09 23:00:00,3.12,0.0,0.0,0.0,318.006981792847,3.12,3.12
2025-07-10 00:00:00,3.24,0.0,0.0,0.0,318.006981792847,3.24,3.24
2025-07-10 01:00:00,3.12,0.0,0.0,0.0,318.006981792847,3.12,3.12
2025-07-10 02:00:00,3.24,0.0,0.0,0.0,318.006981792847,3.24,3.24
2025-07-10 03:00:00,3.18,0.0,0.0,0.0,318.006981792847,3.18,3.18
2025-07-10 04:00:00,3.0,0.496926887903817,0.0,0.0,318.006981792847,2.503073112096183,2.503073112096183
2025-07-10 05:00:00,4.44,10.788458851603975,0.0,0.0,318.006981792847,-6.348458851603975,-6.348458851603975
2025-07-10 06:00:00,4.92,21.44303675355177,0.0,0.0,318.006981792847,-16.52303675355177,-16.52303675355177
2025-07-10 07:00:00,5.04,31.73456871725193,0.0,0.0,318.006981792847,-26.69456871725193,-26.69456871725193
2025-07-10 08:00:00,4.32,40.96170384693902,0.0,0.0,318.006981792847,-36.641703846939016,-36.641703846939016
2025-07-10 09:00:00,5.22,48.49562813208664,0.0,0.0,318.006981792847,-43.27562813208664,-43.27562813208664
2025-07-10 10:00:00,5.28,53.82291708306053,0.0,0.0,318.006981792847,-48.54291708306053,-48.54291708306053
2025-07-10 11:00:00,5.7,56.58052476161307,0.0,0.0,318.006981792847,-50.88052476161307,-50.88052476161307
2025-07-10 12:00:00,6.12,56.58052476161307,0.0,0.0,318.006981792847,-50.46052476161307,-50.46052476161307
2025-07-10 13:00:00,6.72,53.82291708306053,0.0,0.0,318.006981792847,-47.10291708306053,-47.10291708306053
2025-07-10 14:00:00,5.82,48.49562813208664,0.0,0.0,318.006981792847,-42.675628132086636,-42.675628132086636
2025-07-10 15:00:00,5.52,40.96170384693902,0.0,0.0,318.006981792847,-35.44170384693902,-35.44170384693902
2025-07-10 16:00:00,4.02,31.73456871725193,0.0,0.0,318.006981792847,-27.71456871725193,-27.71456871725193
2025-07-10 17:00:00,3.84,21.44303675355177,0.0,0.0,318.006981792847,-17.60303675355177,-17.60303675355177
2025-07-10 18:00:00,3.96,10.788458851603975,0.0,0.0,318.006981792847,-6.828458851603975,-6.828458851603975
2025-07-10 19:00:00,3.24,0.496926887903817,0.0,0.0,318.006981792847,2.7430731120961833,2.7430731120961833
2025-07-10 20:00:00,3.66,0.0,0.0,0.0,318.006981792847,3.66,3.66
2025-07-10 21:00:00,3.36,0.0,0.0,0.0,318.006981792847,3.36,3.36
2025-07-10 22:00:00,3.42,0.0,0.0,0.0,318.006981792847,3.42,3.42
2025-07-10 23:00:00,3.42,0.0,0.0,0.0,318.006981792847,3.42,3.42
2025-07-11 00:00:00,3.06,0.0,0.0,0.0,318.006981792847,3.06,3.06
2025-07-11 01:00:00,3.0,0.0,0.0,0.0,318.006981792847,3.0,3.0
2025-07-11 02:00:00,3.36,0.0,0.0,0.0,318.006981792847,3.36,3.36
2025-07-11 03:00:00,2.82,0.0,0.0,0.0,318.006981792847,2.82,2.82
2025-07-11 04:00:00,3.06,0.3919456071516154,0.0,0.0,318.006981792847,2.6680543928483846,2.6680543928483846
2025-07-11 05:00:00,3.06,10.69309607307654,0.0,0.0,318.006981792847,-7.633096073076539,-7.633096073076539
2025-07-11 06:00:00,4.56,21.357631781268854,0.0,0.0,318.006981792847,-16.797631781268855,-16.797631781268855
2025-07-11 07:00:00,5.22,31.658782247193784,0.0,0.0,318.006981792847,-26.438782247193785,-26.438782247193785
2025-07-11 08:00:00,5.58,40.89454109005459,0.0,0.0,318.006981792847,-35.31454109005459,-35.31454109005459
2025-07-11 09:00:00,5.82,48.43550660752344,0.0,0.0,318.006981792847,-42.61550660752344,-42.61550660752344
2025-07-11 10:00:00,5.94,53.7677744616196,0.0,0.0,318.006981792847,-47.827774461619605,-47.827774461619605
2025-07-11 11:00:00,6.24,56.52795941007568,0.0,0.0,318.006981792847,-50.28795941007568,-50.28795941007568
2025-07-11 12:00:00,5.94,56.52795941007568,0.0,0.0,318.006981792847,-50.58795941007568,-50.58795941007568
2025-07-11 13:00:00,15.42,53.7677744616196,0.0,0.0,318.006981792847,-38.3477744616196,-38.3477744616196
2025-07-11 14:00:00,19.5,48.43550660752344,0.0,0.0,318.006981792847,-28.935506607523443,-28.935506607523443
2025-07-11 15:00:00,18.84,40.89454109005459,0.0,0.0,318.006981792847,-22.054541090054588,-22.054541090054588
2025-07-11 16:00:00,15.66,31.658782247193784,0.0,0.0,318.006981792847,-15.998782247193784,-15.998782247193784
2025-07-11 17:00:00,3.84,21.357631781268854,0.0,0.0,318.006981792847,-17.517631781268854,-17.517631781268854
2025-07-11 18:00:00,3.84,10.69309607307654,0.0,0.0,318.006981792847,-6.853096073076539,-6.853096073076539
2025-07-11 19:00:00,3.6,0.3919456071516154,0.0,0.0,318.006981792847,3.2080543928483847,3.2080543928483847
2025-07-11 20:00:00,3.78,0.0,0.0,0.0,318.006981792847,3.78,3.78
2025-07-11 21:00:00,3.3,0.0,0.0,0.0,318.006981792847,3.3,3.3
2025-07-11 22:00:00,3.84,0.0,0.0,0.0,318.006981792847,3.84,3.84
2025-07-11 23:00:00,3.3,0.0,0.0,0.0,318.006981792847,3.3,3.3
2025-07-12 00:00:00,3.36,0.0,0.0,0.0,318.006981792847,3.36,3.36
2025-07-12 01:00:00,3.3,0.0,0.0,0.0,318.006981792847,3.3,3.3
2025-07-12 02:00:00,3.54,0.0,0.0,0.0,318.006981792847,3.54,3.54
2025-07-12 03:00:00,3.36,0.0,0.0,0.0,318.006981792847,3.36,3.36
2025-07-12 04:00:00,3.06,0.2817254536182515,0.0,0.0,318.006981792847,2.7782745463817484,2.7782745463817484
2025-07-12 05:00:00,3.18,10.59291597177856,0.0,0.0,318.006981792847,-7.41291597177856,-7.41291597177856
2025-07-12 06:00:00,3.42,21.267845906900234,0.0,0.0,318.006981792847,-17.847845906900233,-17.847845906900233
2025-07-12 07:00:00,3.18,31.579036425060533,0.0,0.0,318.006981792847,-28.399036425060533,-28.399036425060533
2025-07-12 08:00:00,3.42,40.82379693249487,0.0,0.0,318.006981792847,-37.40379693249487,-37.40379693249487
2025-07-12 09:00:00,3.36,48.37211227831068,0.0,0.0,318.006981792847,-45.01211227831068,-45.01211227831068
2025-07-12 10:00:00,3.84,53.7095772458715,0.0,0.0,318.006981792847,-49.8695772458715,-49.8695772458715
2025-07-12 11:00:00,3.9,56.472452418216015,0.0,0.0,318.006981792847,-52.57245241821602,-52.57245241821602
2025-07-12 12:00:00,3.84,56.472452418216015,0.0,0.0,318.006981792847,-52.63245241821602,-52.63245241821602
2025-07-12 13:00:00,4.08,53.7095772458715,0.0,0.0,318.006981792847,-49.6295772458715,-49.6295772458715
2025-07-12 14:00:00,7.2,48.37211227831068,0.0,0.0,318.006981792847,-41.17211227831068,-41.17211227831068
2025-07-12 15:00:00,4.32,40.82379693249487,0.0,0.0,318.006981792847,-36.50379693249487,-36.50379693249487
2025-07-12 16:00:00,7.44,31.579036425060533,0.0,0.0,318.006981792847,-24.13903642506053,-24.13903642506053
2025-07-12 17:00:00,17.76,21.267845906900234,0.0,0.0,318.006981792847,-3.507845906900233,-3.507845906900233
2025-07-12 18:00:00,18.06,10.59291597177856,0.0,0.0,318.006981792847,7.467084028221439,7.467084028221439
2025-07-12 19:00:00,17.7,0.2817254536182515,0.0,0.0,318.006981792847,17.41827454638175,17.41827454638175
2025-07-12 20:00:00,6.66,0.0,0.0,0.0,318.006981792847,6.66,6.66
